420,2863,103,155
269,1053,97,307
617,1990,165,415
355,1630,132,709
842,2589,239,512
279,679,90,248
316,703,141,300
285,1231,103,389
1315,4115,336,662
515,1267,237,731
317,1040,120,313
395,1240,150,561
292,1139,100,305
368,935,139,296
1298,3247,409,628
738,1476,466,909
250,872,101,325
321,883,128,327
304,1121,111,510
291,1030,101,344
400,1301,170,593
363,1236,143,453
302,1082,101,320
244,909,95,330
319,991,130,375
321,916,120,381
338,886,150,307
7674,20092,1135,1556
599,1703,268,684
399,1075,171,429
317,936,122,342
371,1325,144,415
371,1325,144,415
220,750,60,186
2063,3880,256,385
3696,10112,917,1421
324,1125,117,287
507,901,239,507
507,901,239,507
130672,4514,16598,1796
5364,12252,675,746
89462,1928,4721,994
312,976,107,425
342,1326,146,759
302,765,115,303
356,1295,147,506
269,972,101,339
344,846,133,249
263,952,106,316
323,1292,127,361
7048,2508,2366,1096
299,1110,96,294
348,1859,143,695
75822,1703,1351,828
302,1027,100,347
297,1277,106,513
326,1298,125,513
314,1005,108,338
361,1028,151,304
346,1144,130,327
551,1855,163,419
417,772,183,275
698,1011,199,380
369,1086,121,337
4958,12342,1223,1291
444,1611,189,660
292,1019,98,364
3544,7885,416,809
1862,4430,614,1118
546,1006,144,413
420,1632,194,712
294,1130,101,386
383,1382,153,632
921,2381,564,1396
324,890,105,297
445,1763,164,445
316,1267,129,657
332,1390,118,577
491,1777,194,625
330,1178,121,376
731,2264,188,527
262,725,90,199
359,1156,138,398
542,1003,232,433
521,2456,235,946
1150,2578,268,384
1150,2578,268,384
6284,22867,994,1291
1344,2530,437,689
472,1475,147,389
471,814,150,341
409,1498,160,422
260,924,104,310
3873,2781,600,825
782,1940,592,1489
595,1268,191,537
443,837,110,321
3034,6215,813,1006
3034,6215,813,1006
579,717,167,289
1309,874,178,392
484,1452,167,417
2493,5104,862,1187
730,1305,260,429
4811,9886,1003,1015
8552,18137,1687,1410
32330,17168,1514,1886
418,966,173,349

